0,"I got a fever, and the only prescription is more cowbell.","Christopher Walken"
1,"Knowledge is power.","Francis Bacon"
2,"Life is really simple, but we insist on making it complicated.","Confucius"
3,"This above all, to thine own self be true.","William Shakespeare"
4,"Never complain. Never explain.","Katharine Hepburn"
5,"Doo bee doo bee dooo.","Frank Sinatra"
6,"These are the times that try mens' souls...","Thomas Paine"
7,"Yeah, well, that's just like ... you opinion, man.","The Dude"
8,"The greatest glory in living lies not in never falling, but in rising every time we fall.","Nelson Mandela"
9,"The way to get started is to quit talking and begin doing.","Walt Disney"
10,"Your time is limited, so don't waste it living someone else's life. Don't be trapped by dogma - which is living with the results of other people's thinking.","Steve Jobs"
11,"The future belongs to those who believe in the beauty of their dreams.","Eleanor Roosevelt"
12,"If you look at what you have in life, you'll always have more. If you look at what you don't have in life, you'll never have enough.","Oprah Winfrey"
13,"If you set your goals ridiculously high and it's a failure, you will fail above everyone else's success.","James Cameron"
14,"You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.","John Lennon"
15,"People often say that motivation doesn't last. Well, neither does bathing -- that's why we recommend it daily.","Zig Ziglar"
16,"Someday is not a day of the week.","Denise Brennan-Nelson"
17,"Hire character. Train skill.","Peter Schutz"
18,"Your time is limited, so don't waste it living someone else's life.","Steve Jobs"
19,"Sales are contingent upon the attitude of the salesman -- not the attitude of the prospect.","W. Clement Stone"
20,"Everyone lives by selling something.","Robert Louis Stevenson"
21,"If you are not taking care of your customer, your competitor will.","Bob Hooey"
22,"The golden rule for every businessman is this: Put yourself in your customer's place.","Orison Swett Marden"
23,"If you cannot do great things, do small things in a great way.","Napoleon Hill"
